"唯一问题编号
(自动生成)",问题,经济活动,具体形式,特殊主体,特殊行业,备注,财税类型,原答案,政策引文,标注答案
gzb2_388,已经提完折旧的固定资产（汽车），现在卖了，具体分录怎么做？,销售货物,,,,,财务,执行小企业会计准则的企业，处置固定资产的账务处理您参考：1、固定资产转入清理：借：固定资产清理累计折旧贷：固定资产2、收到处置收入：借：银行存款等贷：固定资产清理应交税费—应交增值税（销项税额）4、结转固定资产净损益：（1）净损失借：营业外支出贷：固定资产清理或（2）净收益借：固定资产清理贷：营业外收入,,"已提完折旧的固定资产出售处理与未提足折旧处置固定资产一致。处置固定资产时，按固定资产账面价值（原值扣减累计折旧，企业准则需额外扣减减值准备）转入固定资产清理，处置净额计入当期损益。
准则依据 《企业会计准则第 4 号 —— 固定资产》：出售、转让、报废或毁损固定资产，处置收入扣除账面价值、相关税费后的净额计入当期损益；账面价值 = 成本 - 累计折旧 - 累计减值准备。 
《小企业会计准则》：处置净额 = 处置收入 - 账面价值 - 相关税费 - 清理费用，计入营业外收支；账面价值 = 原价 - 累计折旧。 
固定资产清理的账务处理如下，您参考：
1、固定资产转入清理：
借：固定资产清理
累计折旧
固定资产减值准备
贷：固定资产
2、发生清理费用：
借：固定资产清理
贷：银行存款
3、收到处置收入（或残料）：
借：银行存款、原材料等
贷：固定资产清理
应交税费—应交增值税（销项税额）/应交税费—应交增值税/应交税费—简易计税
4、结转固定资产净损益，“固定资产清理”科目余额结转至“资产处置损益”【正常变卖】或“营业外收支”【非常损失、毁损报废损失】：
①正常变卖时：
借：资产处置损益（或贷方）
贷：固定资产清理（或借方）
②非常损失、毁损报废损失：
产生报废处置净损失：
借：营业外支出
贷：固定资产清理
比如正常报废产生的净收益：
借：固定资产清理
贷：营业外收入
小贴士：执行小企业会计准则的企业，不涉及“固定资产减值准备”科目，固定资产清理科目余额结转到“营业外收入”或“营业外支出”科目。"
gzb2_393,公司缴纳保险单位部分，由于员工出勤天数少，单位部分保险由员工个人承担，员工缴纳的保险应该如何做账？,职工保险及公积金,,,,,财务,和员工承担的个人社保一样，计入 其他应收款，发放工资的时候扣掉 哦,,"单位和个人承担的社保都要从员工工资里面扣除，具体的账务处理您参考：
1、计提工资时：
借：管理费用、生产成本等
贷：应付职工薪酬—工资
2、发放工资时：
借：应付职工薪酬—工资
贷：其他应付款—养老、医疗等（单位承担部分和个人承担部分之和）
应交税费—应交个人所得税
银行存款
3、交社保和个税时：
借：其他应付款—养老、医疗等（单位承担部分和个人承担部分之和）
应交税费—应交个人所得税
贷：银行存款"
gzb2_537,我们公司做的是医药耗材，现在想做一个额外的投资，但被投资公司的法人和股东不是实际控股人，通过代持股方式对外投资，这应该怎么做账务处理？,股东注资及减资,,,,,财务,你公司找别人代持，将来分红也享受不了免税。不在股东名册，计入长期股权投资不太合适，计入其他应收款吧,,"贵公司作为实际投资方，通过与被投资公司登记的法人 / 股东（名义代持人）签订合法代持协议，委托其持有标的公司股权，享有股权对应的资产收益、重大决策等权利。根据实质终于形式原则，需判断贵公司对被投资单位是否具有控制、共同控制或重大影响，以此确定核算科目。
若贵公司采用《企业会计准则》，则判断
1. 控制 / 共同控制 / 重大影响：长期股权投资（成本法 / 权益法）
2. 无控制 / 无重大影响：金融工具（公允价值计量）
若贵公司采用小企业会计准则统一计入长期股权投资，使用成本法。

账务处理可参考：
（一）企业会计准则
1. 对被投单位具有控制（持股≥50% 或实质控制）-成本法
借：长期股权投资—XX标的公司  （实际支付的投资款总额，含交易费用）
贷：银行存款
2.对被投单位具有共同控制 / 重大影响（20%≤持股＜50%）-权益法
借：长期股权投资—XX标的公司（成本）
贷：银行存款
3.对被投单位无控制、无共同控制、无重大影响（持股＜20%）
借：交易性金融资产—成本  （投资款-已宣告未发放股利）
应收股利  （已宣告未发放的现金股利）
投资收益  （交易费用，如手续费）
贷：银行存款

（二）小企业会计准则
借：长期股权投资—XX标的公司  （实际支付的投资款+交易费用）
贷：银行存款

注：代持在税务上通常难以被认可，一般视为财务性投资，其收益按“贷款服务”缴纳增值税。执行小企业会计准则可基于税务上的考量，将投资款计入往来科目较为落地。

财务处理可参考：
借：其他应收款-xx标的公司
贷：银行存款等"
gzb2_570,收到的饭店发票（附有图片）应如何做账，具体是招待客户发生的餐费,采购服务,,,,,财务,咱们是招待客户发生的餐费吗？比如招待客户发生的，走销售费用，员工就按福利费做账。借：销售费用-招待费  贷：其他应付款等,,"收到的饭店发票对应的招待客户餐费，应计入销售费用-业务招待费。
会计分录如下：
借：销售费用-业务招待费
贷：其他应付款等"
gzb2_578,我公司租用个人车辆，由公司购买车辆交强险和商业险，如何进行账务处理？是否可以计入管理费用？,租赁资产,,,,,财务,可以记到管理费用，但是保险费不可以税前扣除，需要在企业所得税汇算清缴的时候纳税调增,,"管理部门 / 管理人员使用的租赁车辆，其保险费可计入管理费用；但需以租赁合同明确约定保险费由承租方承担为前提，无合同依据的，保险费支出与经营无关，存在企业所得税税前调增风险。
准则层面：达到分摊标准的，需按期摊销；执行《小企业会计准则》的，可选择一次性计入当期损益，无强制摊销要求。
会计分录如下：
1.分期摊销（适用于跨期保险、执行《企业会计准则》或企业需规范分摊的情形）
①支付保险费
借：预付账款-车辆保险费
贷：银行存款
②分期摊销保险费
借：管理费用等（每月摊销额）
贷：预付账款-车辆保险费
2.一次性入账（适用于当期保险、执行《小企业会计准则》的简化处理）
借：管理费用/销售费用—车辆保险费
贷：银行存款"
gzb2_620,我们给供应商付款了17.5万元，但对方只给我们开了17万元的发票，这应该怎么记账呢？,采购货物,,,,,财务,如果是属于开票有误，需要联系供应商退回重新开具正确的发票；如果属于实际支付金额有误，可要求对方退回多付的部分，后续如果继续有业务来往也可将多付的金额计入预付账款。,,"需要先确认该差额的产生原因，若暂未取得剩余发票，则全额入账；若是因违约等原因，不再开具剩余发票，则需区分情形考虑。且未取得发票的部分计入存货成本，其对应的部分税前不得扣除。

会计分录如下：
1.支付款项及确认入库时
（1）支付款项时
借：应付账款  175000
贷：银行存款  175000
（2）确认入库时
①预计能够开具剩余发票
借：原材料 /库存商品等   170000/（1+适用税率）
应交税费-应交增值税（进项税额）170000/（1+适用税率）*适用税率
贷：应付账款  170000

借：原材料 /库存商品等 5000/(1+适用税率）
贷：应付账款-暂估 5000/(1+适用税率）

②预计不能开具剩余发票
借：原材料 /库存商品等   175000-170000/（1+适用税率）*适用税率
应交税费-应交增值税（进项税额）170000/（1+适用税率）*适用税率
贷：应付账款  175000
注：
依据《增值税会计处理规定》（财会〔2016〕22 号）及财政部会计司的官方解读，需按照暂估入账金额不含进项税的口径进行核算处理。
1.《增值税会计处理规定》第二（一）4项
2.会计司解读：在对《规定》第二（一）4项中已验收入库但尚未取得增值税扣税凭证的货物等暂估入账时，暂估入账的金额不包含增值税进项税额。一般纳税人购进劳务、服务等但尚未取得增值税扣税凭证的，比照处理。"
gzb2_623,作为一般纳税人，对方给我们的发票税点开错了，上个月开具的发票这个月已经冲红，新的发票也已经开过来并退回，但我们已经抵扣了，这种情况下应该如何进行账务调整？,采购货物,,,,,财务,取得负数发票时 借：主营业务成本 负数 应交税费-应交增值税-进项税额 负数 贷：应付账款 负数；取得正确的正数发票时借：主营业务成本，应交税费-应交增值税-进项税额 贷：应付账款,,"根据《关于印发<增值税会计处理规定>的通知》（财会[2016]22号）二（一）1  规定，如原增值税专用发票已做认证，应根据税务机关开具的红字增值税专用发票做相反的会计分录 。

会计分录如下：
借：主营业务成本等 红字
应交税费-应交增值税（进项税额） 红字
贷：应付账款等；

取得正确的正数发票时，
借：主营业务成本等 
应交税费-应交增值税（进项税额）
贷：应付账款等"
gzb2_636,小企业会计准则下，基金产品买入600元赎回610元如何入账，且没有交易性金融资产科目，是否可以替换为短期投资-基金,金融商品交易,,,,,财务,"可以的
一样的哦
替换一下就行",,"可以的，就应该计入短期投资科目。
根据《小企业会计准则》第八条规定，企业购入的基金产品属于准则规范的短期投资范畴。短期投资入账成本为购买价款及相关税费；出售时，出售价款扣除账面余额、相关税费后的净额，计入投资收益。

会计分录如下：
1、买入时：
借：短期投资-基金 600
贷：银行存款 600
2、赎回时
借：银行存款 610
贷：短期投资-基金 600
投资收益 10"
gzb2_658,单位租用员工车辆，支付车辆租赁费6000元时企业代扣代缴财产租赁所得960元，实际支付员工5040元，这种情况下会计分录应该如何编写？,租赁资产,,,,,财务,借：相关成本6000&nbsp;贷：其他应收款-代扣代缴个税960&nbsp;银行存款&nbsp;5040 在支付个税时&nbsp;借：应交税费-应交个人所得税&nbsp;960行存款&nbsp;960 再计提时&nbsp;借：其他应收款-代扣代缴个税960&nbsp;贷：应交税费-应交个人所得税&nbsp;960,,"个税仅为代扣代缴，不影响交易对价，贵司仍应按照6000元全额确认租赁费。
会计分录如下：
1.计提租赁费并确认代扣个税：
借：管理费用/销售费用等-车辆租赁费 6000
贷：其他应付款-XX员工 5040
应交税费-应交个人所得税 960

2.支付租赁费
借：其他应付款-XX员工 5040
贷：银行存款 5040

3.代缴个人所得税：
借：应交税费-应交个人所得税 960
贷：银行存款 960
"
gzb2_663,在节假日正常休息的情况下，5月份1-15日请假，工资应该如何核算？,职工薪酬,,,,,财务,"半个月工资或按照工作日计算
5月19个工作日，上几天班，给多少钱
这个是公司自己定的。我们这是3500/19
算一天，然后计算上班时间
请假的都扣",《劳动法》第五十条、《工资支付暂行规定》第十二条,"一、先确定5月计薪规则
5月共31天，月计薪天数21.75天，日工资=月工资标准÷21.75天。
二、区分请假类型核算工资
1.事假：事假期间无工资，核算公式=月工资-（日工资×事假天数）。
示例：月工资7200元，日工资≈331.03元，1-15日事假（共15天，其中工作日10天、周末5天），工资=7200-（331.03×10）=3889.7元。
2.病假：病假期间支付不低于当地最低工资标准80%的病假工资，核算公式=月工资-（日工资×事假天数）+病假工资（如有）。
3.婚假/产假等法定假期：按正常出勤支付工资，不受请假影响。
三、关键提示
1.周末不计入事假天数，仅扣除工作日请假天数的工资。
2.病假工资标准不得低于当地最低工资的80%，具体按公司制度执行。"
gzb2_668,我公司是考试机构，收取培训学校培训费10万（其中2万已开发票）全部交给财政局，财务局扣除10%的费用之后把9万返还给我公司。这9万（其中2万已开过票）财政局要发票。我公司应该如何做帐务处理？,提供服务,,,,,财务,"收到培训学校培训费10万（2万已开票）收到款项时借：银行存款100,000贷：其他应付款-财政局100,000说明：因款项需全额上交财政局，暂计入“其他应付款”，待后续处理。开具2万发票时借：其他应付款-财政局20,000贷：主营业务收入18,867.92（假设税率6%）贷：应交税费-应交增值税（销项税额）1,132.08。全额上交财政局10万借：其他应付款-财政局100,000贷：银行存款100,000。财政局扣除10%费用后返还9万（需向财政局开具发票）收到返还9万时借：银行存款90,000贷：其他应收款-财政局90,000说明：先通过“其他应收款”过渡，待开票后确认收入。向财政局开具9万发票（其中2万为已开票部分，7万为新增开票）已开票2万的处理：因前期已确认收入，此处无需重复确认，但需在发票备注中说明“补开前期未开票部分”。新增开票7万的处理：借：其他应收款-财政局70,000贷：主营业务收入/其他业务收入66,037.74（假设税率6%）贷：应交税费-应交增值税（销项税额）3,962.26",,"该业务实际为两项业务，代收代付业务（交易主体实质为培训学校与财政局，交易对价为10万，贵司仅做第三方代收代付）；考试培训相关服务（交易主体为贵司与财政局，交易对价为9万，已开具2万发票）。

代收代付业务通过往来科目进行核算；财政返还的9万元属于贵司服务收入需确认收入；扣除的1万元为财政留存资金，非贵司成本或费用，无需进行账务处理。

会计分录可参考：
1.代收培训学校培训费时，
借：银行存款   10w
贷：其他应付款-财政局  10w

2.上交财政局时，
借：其他应付款-财政局  10w
贷：银行存款  10w

3.确认收入时，
借：应收账款-财政局 9w
贷：主营业务收入 9w/（1+适用税率）
应交税费-应交增值税（销项税额）

4.收到财政局返款时，
借：银行存款 9w
贷：应收账款-财政局 9w

注意：若 2 万元发票原开给培训学校，需先红冲该发票，再向财政局开具全额 9 万元发票"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
